id,slug,lat,lng,next_vid,prev_vid,flagged,date_filmed,date_created,state
2,2018_0512_202531_002_opt,40.767249,-111.853776,3,,f,2018-05-12 20:25:31+00,2019-08-22 23:22:27.541999+00,Utah
3,2018_0512_202831_003_opt,40.767228,-111.868115,4,,f,2018-05-12 20:28:31+00,2019-08-22 23:22:29.095166+00,Utah
4,2018_0512_203132_004_opt,40.760767,-111.872184,5,,f,2018-05-12 20:31:32+00,2019-08-22 23:22:33.069801+00,Utah
5,2018_0512_203432_005_opt,40.760807,-111.882471,6,,f,2018-05-12 20:34:32+00,2019-08-22 23:22:34.026059+00,Utah
6,2018_0512_203732_006_opt,40.760974,-111.887028,7,,f,2018-05-12 20:37:32+00,2019-08-22 23:22:34.900727+00,Utah
7,2018_0512_211432_001_opt,40.760946,-111.888135,8,,f,2018-05-12 21:14:32+00,2019-08-22 23:22:40.972207+00,Utah
8,2018_0512_211732_002_opt,40.764868,-111.888151,9,,f,2018-05-12 21:17:32+00,2019-08-22 23:22:42.035968+00,Utah
9,2018_0512_212032_003_opt,0,0,10,,t,2018-05-12 21:20:32+00,2019-08-22 23:22:50.961112+00,""
10,2018_0512_212332_004_opt,40.770487,-111.852311,11,,f,2018-05-12 21:23:32+00,2019-08-22 23:22:52.424128+00,Utah
11,2018_0512_221820_001_opt,40.774768,-111.844548,12,,f,2018-05-12 22:18:20+00,2019-08-22 23:22:54.763349+00,Utah
13,2018_0512_222421_003_opt,40.756763,-111.835384,14,,f,2018-05-12 22:24:21+00,2019-08-22 23:23:04.448993+00,Utah
14,2018_0512_222721_004_opt,40.739038,-111.82513,15,,f,2018-05-12 22:27:21+00,2019-08-22 23:23:06.68281+00,Utah
15,2018_0512_223021_005_opt,40.717867,-111.809635,16,,f,2018-05-12 22:30:21+00,2019-08-22 23:23:07.474079+00,Utah
16,2018_0512_223321_006_opt,40.724125,-111.772868,17,,f,2018-05-12 22:33:21+00,2019-08-22 23:23:08.67912+00,Utah
17,2018_0512_223621_007_opt,40.745638,-111.727474,18,,f,2018-05-12 22:36:21+00,2019-08-22 23:23:09.504856+00,Utah
18,2018_0512_223921_008_opt,40.747583,-111.638411,19,,f,2018-05-12 22:39:21+00,2019-08-22 23:23:15.292293+00,Utah
19,2018_0512_224221_009_opt,40.753117,-111.615853,20,,f,2018-05-12 22:42:21+00,2019-08-22 23:23:16.189468+00,Utah
20,2018_0512_224521_010_opt,40.740438,-111.559115,21,,f,2018-05-12 22:45:21+00,2019-08-22 23:23:16.698789+00,Utah
21,2018_0512_224821_011_opt,40.728524,-111.503792,22,,f,2018-05-12 22:48:21+00,2019-08-22 23:23:17.664573+00,Utah
22,2018_0512_225121_012_opt,40.765682,-111.469401,23,,f,2018-05-12 22:51:21+00,2019-08-22 23:23:18.964814+00,Utah
23,2018_0512_225421_013_opt,0,0,24,,t,2018-05-12 22:54:21+00,2019-08-22 23:23:27.700621+00,""
24,2018_0512_225721_014_opt,40.827795,-111.391553,25,,f,2018-05-12 22:57:21+00,2019-08-22 23:23:29.359253+00,Utah
25,2018_0512_230021_015_opt,40.87443,-111.390381,26,,f,2018-05-12 23:00:21+00,2019-08-22 23:23:30.34987+00,Utah
26,2018_0512_230321_016_RO_opt,0,0,27,,t,2018-05-12 23:03:21+00,2019-08-22 23:23:30.369765+00,""
27,2018_0512_230621_017_opt,40.96263,-111.432243,28,,f,2018-05-12 23:06:21+00,2019-08-22 23:23:31.21382+00,Utah
28,2018_0512_230921_018_opt,40.99285,-111.399772,29,,f,2018-05-12 23:09:21+00,2019-08-22 23:23:32.037784+00,Utah
29,2018_0512_231221_019_opt,41.026351,-111.347038,30,,f,2018-05-12 23:12:21+00,2019-08-22 23:23:32.875944+00,Utah
30,2018_0512_231521_020_opt,41.055566,-111.293408,31,,f,2018-05-12 23:15:21+00,2019-08-22 23:23:33.82955+00,Utah
31,2018_0512_231821_021_opt,41.086621,-111.23195,32,,f,2018-05-12 23:18:21+00,2019-08-22 23:23:35.240458+00,Utah
32,2018_0512_232121_022_opt,41.120833,-111.188118,33,,f,2018-05-12 23:21:21+00,2019-08-22 23:23:36.031568+00,Utah
33,2018_0512_232421_023_opt,41.153516,-111.144255,34,,f,2018-05-12 23:24:21+00,2019-08-22 23:23:36.65599+00,Utah
34,2018_0512_232721_024_opt,41.195565,-111.114079,35,,f,2018-05-12 23:27:21+00,2019-08-22 23:23:37.552471+00,Utah
35,2018_0512_233021_025_opt,41.237793,-111.076758,36,,f,2018-05-12 23:30:21+00,2019-08-22 23:23:38.409147+00,Utah
36,2018_0512_233321_026_opt,41.24895,-111.010742,37,,f,2018-05-12 23:33:21+00,2019-08-22 23:23:39.363907+00,Wyoming
37,2018_0512_233621_027_opt,41.266138,-110.950879,38,,f,2018-05-12 23:36:21+00,2019-08-22 23:23:40.652283+00,Wyoming
38,2018_0512_233921_028_opt,41.2632,-110.880632,39,,f,2018-05-12 23:39:21+00,2019-08-22 23:23:41.40767+00,Wyoming
39,2018_0512_234221_029_opt,41.27321,-110.816943,40,,f,2018-05-12 23:42:21+00,2019-08-22 23:23:42.554117+00,Wyoming
40,2018_0512_234521_030_RO_opt,0,0,41,,t,2018-05-12 23:45:21+00,2019-08-22 23:23:42.567752+00,""
42,2018_0512_235121_032_opt,41.360701,-110.680664,43,,f,2018-05-12 23:51:21+00,2019-08-22 23:23:44.330868+00,Wyoming
43,2018_0512_235421_033_opt,41.400073,-110.642936,44,,f,2018-05-12 23:54:21+00,2019-08-22 23:23:45.150093+00,Wyoming
44,2018_0512_235721_034_opt,41.45109,-110.621322,45,,f,2018-05-12 23:57:21+00,2019-08-22 23:23:47.212309+00,Wyoming
